Reef,Zone,Latitude,Longitude,median_ubed90,per_suitable,temp_median,Secchi_median
19138S,Flank2,-19.80657216,149.4192907,0.356763333,0.932777778,26.26900387,20.10301208
19138S,Front,-19.8064304,149.4287477,0.576568693,1,26.19225407,20.10301208
19138S,Flank1,-19.79495442,149.429493,0.355721429,0.903684211,26.26409054,20.10301208
19138S,Back,-19.79585013,149.4211564,0.223336682,0.763846154,26.26191139,20.10301208
20104S,Flank2,-20.03533792,149.6825936,0.284548506,0.997142857,26.31818295,19.78277206
20104S,Front,-20.03947234,149.6877095,0.4164152,1,26.21642303,19.78277206
20104S,Flank1,-20.0318444,149.6943203,0.40616408,0.941176471,26.2116766,19.78277206
20104S,Back,-20.02637344,149.6862428,0.218858734,0.686818182,26.1970005,19.78277206
20348S,Front,-20.90133176,150.9542408,0.320297495,0.986052632,25.73652267,15.24900436
20348S,Back,-20.88143617,150.9470346,0.237666145,0.194246575,25.7118082,15.24900436
20348S,Flank2,-20.89542932,150.9379107,0.219941556,0.7228,25.72040272,15.24900436
20348S,Flank1,-20.89033403,150.9616975,0.366595313,0.467307692,25.7111187,15.24900436
20353S,Front,-20.97758518,150.9200175,0.290698729,0.941153846,25.75445557,15.33594513
20353S,Flank2,-20.96916033,150.9083213,0.28623879,0.922857143,25.75703621,15.33594513
20353S,Flank1,-20.96736508,150.9288492,0.345563561,0.9478125,25.75146008,15.33594513
20354S,Flank2,-20.97559105,150.9491047,0.32516858,0.985555556,25.75715256,14.85608768
20354S,Front,-20.97770637,150.9548682,0.434145376,1,25.9839468,14.85608768
20354S,Back,-20.97143252,150.94982,0.295143723,0.560740741,25.76432896,14.85608768
20354S,Flank1,-20.97104528,150.9554864,0.340606362,0.673571429,25.76432896,14.85608768
21060S,Front,-21.01894162,150.5919837,0.397992127,0.909230769,25.88074684,16.054739
21060S,Flank2,-21.01650006,150.5866264,0.292882189,0.481428571,25.88201237,16.054739
21060S,Back,-21.01041699,150.5890331,0.279536799,0.56,25.88201237,16.054739
21060S,Flank1,-21.01110195,150.5964052,0.418025464,0.93375,25.87031841,16.054739
21062S,Flank1,-21.02940374,150.8749132,0.399366125,0.99,25.80809498,15.28500557
21062S,Back,-21.02561974,150.856971,0.311239265,0.565714286,25.79333878,15.28500557
21062S,Front,-21.04202541,150.8680715,0.250501141,0.954,25.79272175,15.28500557
21062S,Flank2,-21.03597824,150.8555524,0.181097098,0.837857143,25.80073357,15.28500557
21064S,Back,-21.05240428,150.7776789,0.326506495,0.814545455,25.80618,15.22326088
21064S,Front,-21.0632434,150.7782981,0.242446434,0.973478261,25.80618,15.22326088
21064S,Flank2,-21.05968366,150.7708411,0.183148742,0.968333333,25.8101778,15.22326088
21064S,Flank1,-21.05461,150.7849271,0.435729392,0.894166667,25.80396843,15.22326088
21139S,Front,-21.47885137,151.4848828,0.33763729,0.999574468,25.66588688,16.81137466
21139S,Flank2,-21.48959451,151.4615602,0.259268314,0.948717949,25.67534542,16.81137466
21139S,Back,-21.46824524,151.4539195,0.252930194,0.951964286,25.67601204,16.81137466
21139S,Flank1,-21.45801809,151.4748146,0.315134145,0.928974359,25.66745949,16.81137466
21187S,Front,-21.42303029,151.630717,0.29069896,0.999692308,25.66305161,17.2983551
